"Informazioni cronologiche","Condizione","Utente ID","Genere","Quanti anni hai? ","Che tipo di esperienza hai con i robot?","1/4 Impressione sull'interazione [L'interazione con questo robot e' chiara e comprensibile]","1/4 Impressione sull'interazione [L'interazione con questo robot non richiede un grosso sforzo mentale]","1/4 Impressione sull'interazione [Ho trovato facile interagire con questo robot]","1/4 Impressione sull'interazione [Credo che non ci siano problemi ad utilizzare questo robot]","2/4 Impressione sull'interazione [Trovo che questo robot sia divertente]","2/4 Impressione sull'interazione [Trovo che questo robot sia piacevole]","2/4 Impressione sull'interazione [Trovo che questo robot sia spassoso]","2/4 Impressione sull'interazione [Trovo che questo robot sia emozionante]","3/4 Impressione sull'interazione
Questa scala va da 1 (Totalmente in disaccordo) a 5 (Totalmente d'accordo) [Mi sento irritato verso questo robot]","3/4 Impressione sull'interazione
Questa scala va da 1 (Totalmente in disaccordo) a 5 (Totalmente d'accordo) [Mi sento arrabbiato verso questo robot]","3/4 Impressione sull'interazione
Questa scala va da 1 (Totalmente in disaccordo) a 5 (Totalmente d'accordo) [Mi sento infastidito da questo robot]","3/4 Impressione sull'interazione
Questa scala va da 1 (Totalmente in disaccordo) a 5 (Totalmente d'accordo) [Mi sento esasperato da questo robot]","4/4 Impressione sull'interazione

Questa scala va da 1 (Totalmente in disaccordo) a 7 (Totalmente d'accordo) [Questo robot si comporta in modo etico]","4/4 Impressione sull'interazione

Questa scala va da 1 (Totalmente in disaccordo) a 7 (Totalmente d'accordo) [Sono sicuro delle intenzioni, delle azioni e dei risultati di questo robot]","4/4 Impressione sull'interazione

Questa scala va da 1 (Totalmente in disaccordo) a 7 (Totalmente d'accordo) [Non diffido di questo robot]","4/4 Impressione sull'interazione

Questa scala va da 1 (Totalmente in disaccordo) a 7 (Totalmente d'accordo) [Sono sicuro di me con questo robot]","4/4 Impressione sull'interazione

Questa scala va da 1 (Totalmente in disaccordo) a 7 (Totalmente d'accordo) [Mi fiderò di questo robot se mi darà ancora consigli in futuro]","4/4 Impressione sull'interazione

Questa scala va da 1 (Totalmente in disaccordo) a 7 (Totalmente d'accordo) [Credo che questo robot possa fornirmi i migliori consigli]","4/4 Impressione sull'interazione

Questa scala va da 1 (Totalmente in disaccordo) a 7 (Totalmente d'accordo) [Seguirò i consigli che questo robot mi darà]","Io mi vedo come una persona che ... [é loquace]","Io mi vedo come una persona che ... [tende ad essere taciturna]","Io mi vedo come una persona che ... [di solito si fida]","Io mi vedo come una persona che ... [è riservata]","Io mi vedo come una persona che ... [è qualche volta scortese con gli altri]","Io mi vedo come una persona che ... [è premurosa e gentile pressocchè con tutti]","Io mi vedo come una persona che ... [ha una personalità energica]","Io mi vedo come una persona che ... [può essere fredda ed emotivamente distaccata]","Io mi vedo come una persona che ... [è piena di energia]","Io mi vedo come una persona che ... [è estroversa, socievole]","Io mi vedo come una persona che ... [tende ad trovare da ridire sugli altri]","Io mi vedo come una persona che ... [è premurosa e altruista con gli altri]","Io mi vedo come una persona che ... [genera molto entusiasmo]","Io mi vedo come una persona che ... [piace collaborare con gli altri]","Io mi vedo come una persona che ... [Attacca briga con gli altri]","Io mi vedo come una persona che ... [È qualche volta timida, inibita]","Io mi vedo come una persona che ... [Per natura tende a perdonare]","A ogni domanda del robot, ho orientato il mio corpo verso il robot perché ... [E' buona educazione]","A ogni domanda del robot, ho orientato il mio corpo verso il robot perché ... [E' una norma sociale]","A ogni domanda del robot, ho orientato il mio corpo verso il robot perché ... [Ho capito che il robot voleva che io mi spostassi]","A ogni domanda del robot, ho orientato il mio corpo verso il robot perché ... [Questo suo movimento mi ha messo a disagio]","Se ha alcuni commenti sulla sua esperienza con il robot puoi inserirli qui."
"2022/11/26 12:21:26 PM EET","C1","11","Maschile","18-24","Conosco i robot grazie a film/libri/serie tv","7 (Totalmente d'accordo)","6","4","7 (Totalmente d'accordo)","5","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","6","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","2","4","3","2","2","2","","6","4","3","2","1 (Totalmente in disaccordo)","3","2","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","4","2","2","4","5 (Totalmente d'accordo)","3","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","3","1 (Totalmente in disaccordo)",""
"2022/11/26 12:35:09 PM EET","C2","12","Femminile","35-44","Conosco i robot grazie a film/libri/serie tv","5","5","7 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","5","5","5","5","4","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","4","4","1 (Totalmente in disaccordo)","4","4","5","5","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","2","2","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","2","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","2","4","5 (Totalmente d'accordo)","3","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)",""
"2022/11/26 12:43:50 PM EET","C1","13","Femminile","25-34","Conosco i robot grazie a film/libri/serie tv","7 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","6","4","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","4","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","4","4","2","4","3","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","2","3","4","3","3","1 (Totalmente in disaccordo)","2","5 (Totalmente d'accordo)","4","1 (Totalmente in disaccordo)","3","2","3","3","3","2",""
"2022/11/26 12:54:01 PM EET","C2","14","Femminile","18-24","Conosco i robot grazie a film/libri/serie tv","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","4","5 (Totalmente d'accordo)","3","3","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","4","4","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","3","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)",""
"2022/11/26 1:11:11 PM EET","C1","15","Maschile","18-24","Conosco i robot grazie a film/libri/serie tv","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","4","1 (Totalmente in disaccordo)","3","2","2","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","3","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","2","3","3","3","3","1 (Totalmente in disaccordo)",""
"2022/11/26 1:22:33 PM EET","C2","16","Femminile","45-54","Ho un robot a casa (per esempio, robot aspirapolvere)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","5","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","3","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","3","2","2","2","4","3","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","2","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","3","4","5 (Totalmente d'accordo)","2","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","2","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","3","3","5 (Totalmente d'accordo)","3",""
"2022/11/26 1:33:17 PM EET","C1","17","Femminile","45-54","Nessuna","7 (Totalmente d'accordo)","","","","2","2","2","1 (Totalmente in disaccordo)","3","1 (Totalmente in disaccordo)","3","1 (Totalmente in disaccordo)","3","3","3","2","2","2","2","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","3","2","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","3","4","4","5 (Totalmente d'accordo)","3","2","un pò mi infastidiva quando mi paragonava agli altri che avevano indovinato tutte le risposte..."
"2022/11/26 1:47:19 PM EET","C2","18","Femminile","18-24","Nessuna","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","6","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","3","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","3","6","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","4","3","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","4","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","4","2","4","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)",""
"2022/11/26 1:59:40 PM EET","C1","19","Maschile","25-34","Interagisco spesso con i robot per lavoro","5","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","6","5","5","4","6","4","1 (Totalmente in disaccordo)","3","2","5","6","6","6","6","5","5","3","5 (Totalmente d'accordo)","3","5 (Totalmente d'accordo)","2","4","3","3","2","2","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","3","4","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","4","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","3","4",""
"2022/11/26 2:59:43 PM EET","C2","20","Femminile","18-24","Conosco i robot grazie a film/libri/serie tv","7 (Totalmente d'accordo)","6","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","6","7 (Totalmente d'accordo)","6","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","7 (Totalmente d'accordo)","6","5","6","6","6","5","3","3","3","4","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","3","3","2","4","2","4","4","4","1 (Totalmente in disaccordo)","4","3","4","5 (Totalmente d'accordo)","3","2",""
"2022/11/26 3:14:08 PM EET","C1","21","Maschile","35-44","Conosco i robot grazie a film/libri/serie tv","5","5","5","6","3","4","3","2","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","2","2","2","3","3","3","4","3","2","3","3","2","4","3","3","3","3","3","3","4","3","2","3","2","4","3","2","3","2","2",""
"2022/11/26 3:36:29 PM EET","C2","22","Femminile","45-54","Conosco i robot grazie a film/libri/serie tv","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","6","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","6","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","7 (Totalmente d'accordo)","6","7 (Totalmente d'accordo)","6","6","6","6","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","4","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","4","1 (Totalmente in disaccordo)","4","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","3","4","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","4","1 (Totalmente in disaccordo)","piacecole e divertente ottimo test menemonico"
"2022/11/26 3:41:26 PM EET","C1","23","Maschile","18-24","Conosco i robot grazie a film/libri/serie tv","6","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","5","6","5","2","2","2","1 (Totalmente in disaccordo)","2","6","5","6","6","5","6","3","1 (Totalmente in disaccordo)","4","3","5 (Totalmente d'accordo)","4","2","4","5 (Totalmente d'accordo)","2","1 (Totalmente in disaccordo)","4","2","4","2","4","5 (Totalmente d'accordo)","2","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)",""
"2022/11/26 3:50:35 PM EET","C2","24","Femminile","18-24","Nessuna","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","6","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","6","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","4","5 (Totalmente d'accordo)","3","4","4","3","3","3","3","3","1 (Totalmente in disaccordo)","4","3","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","4","2","4","4","5 (Totalmente d'accordo)","4",""
"2022/11/26 4:09:26 PM EET","C1","25","Femminile","25-34","Ho un robot a casa (per esempio, robot aspirapolvere)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","2","2","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","2","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","6","6","6","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","2","2","2","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","4","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","3","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","3","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","3","4","3","3",""
"2022/11/26 4:18:23 PM EET","C2","26","Femminile","25-34","Nessuna","6","6","6","6","3","4","2","2","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)","7 (Totalmente d'accordo)","7 (Totalmente d'accordo)","3","4","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","4","3","3","3","5 (Totalmente d'accordo)","3","4","3","3","3","2","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","5 (Totalmente d'accordo)","1 (Totalmente in disaccordo)","1 (Totalmente in disaccordo)",""
